Flat_No,House_Name,House_No,Street,Locale,Town,Postcode,Parish,Consideration,Market_Value,Acquisition_Date,Registered_Date
,Strathallan Castle,,Clifton Road,,Port St Mary,IM9 5EL,Rushen,1500000,1500000,30/03/2007,28/11/2007
,Craig Mooar,,Summerhill Road,,Jurby,IM7 3BR,Jurby,315000,315000,30/03/2007,19/12/2007
,Mull House,,Bay Mount,,Port Erin,IM9 6JQ,Rushen,920000,920000,30/03/2007,17/11/2007
,Craigmooar,,Summerhill Road,,Jurby,IM7 3BR,Jurby,0,0,30/03/2007,1/7/2008
,,55,Claughbane Drive,,Ramsey,IM8 2BJ,Maughold,315000,315000,2/4/2007,17/09/2007
,Moaney Moar Cottage,,Cronk-Y-Voddy,,German,IM4 3NS,German,255000,255000,2/4/2007,25/09/2007
,Thie-Y-Chleree,,Maughold Village,,Maughold,IM7 1AS,Maughold,458000,,2/4/2007,9/5/2007
,,20,Faaie-Ny-Cabbal,,Kirk Michael,IM6 2HW,Michael,290000,,2/4/2007,12/5/2007
Garage 24,Knock Rushen,,Off Queen Street,,Castletown,,Malew,15000,15000,2/4/2007,27/05/2009
,,20,Westbourne Road,,Ramsey,IM8 2EP,Maughold,205000,205000,2/4/2007,24/10/2007
,Meadowside Cottage,,Main Road,,Greeba,IM4 2DU,German,255000,255000,2/4/2007,27/10/2007
,,15,Balleigh Park,,Ramsey,IM8 3NN,Lezayre,190000,190000,2/4/2007,12/11/2007
,,9,Christian Street,,Peel,IM5 1NW,German,208000,208000,2/4/2007,10/11/2007
,Brooklands,,Mount Auldyn,,Ramsey,IM8 3PJ,Lezayre,289000,289000,2/4/2007,11/11/2007
,Hawthorne Cottage,,Church Road,,Maughold,IM7 1AS,Maughold,355000,355000,2/4/2007,16/11/2007
,Garden To The Rear,15,Balleigh Park,,Ramsey,IM8 3NN,Lezayre,0.25,0.25,2/4/2007,12/11/2007
,Bedwyn,13,Queens Drive,,Peel,IM5 1BH,German,240000,240000,2/4/2007,12/9/2007
,Land Near Meadowside Cottage,,Main Road,Greeba,German,IM4 2DU,German,0,0,2/4/2007,21/06/2008
,St Briavels,,South Cape,,Laxey,IM4 7JB,Lonan,700000,700000,3/4/2007,22/09/2007
,Hillside,,Ballaragh Road,,Lonan,IM4 7PW,Lonan,350000,350000,3/4/2007,1/10/2007
,,9,Church Close,,Lonan,IM4 7JY,Lonan,245000,245000,3/4/2007,16/11/2007
,Reayrt Ny Loghey,,Park Road,,Ramsey,IM8 3AR,Lezayre,380000,380000,3/4/2007,11/11/2007
,Hillside,,Ballaragh Road,,Lonan,IM4 7PW,Lonan,350000,350000,3/4/2007,9/4/2009
,,27,Laurys Avenue,,Ramsey,IM8 2HE,Maughold,0.25,200000,4/4/2007,14/09/2007
,,4,Queens Drive East,,Ramsey,IM8 1EJ,Maughold,20000,170000,4/4/2007,3/11/2007
,,16,Victoria Road,,Port St Mary,IM9 5AF,Rushen,222000,222000,4/4/2007,11/11/2007
,,18,Ballanawin,Strang Road,Union Mills,IM4 4NR,Braddan,194000,194000,4/4/2007,14/11/2007
,One Third Share In The Forecourt,16,Victoria Road,,Port St Mary,IM9 5AF,Rushen,0,0,4/4/2007,12/11/2007
,Treetops,,Ballafayle,,Ramsey,IM7 1ED,Maughold,540000,540000,4/4/2007,12/12/2007
Apartment 9,Quay House,,West Quay,,Ramsey,IM8 1DD,Maughold,153995,153995,4/4/2007,3/11/2007
,Crofton,,Glen Road,,Colby,IM9 4NX,Arbory,190000,190000,4/4/2007,28/11/2007
,The Hawthorns,,Droghadfayle Road,,Port Erin,IM9 6EL,Rushen,167500,,5/4/2007,14/08/2007
,,10,Marsden Terrace,,Ramsey,IM8 3DS,Lezayre,150000,,5/4/2007,9/5/2007
,,56,Kerroo Coar,,Peel,IM5 1JD,German,189000,189000,5/4/2007,19/10/2007
,Cliff View,8,Victoria Terrace,,Peel,IM5 1PG,German,289000,289000,5/4/2007,24/10/2007
,,3,College Street,,Ramsey,IM8 1JN,Maughold,130000,130000,5/4/2007,31/10/2007
,,3,Cronk Reayrt,Glenfaba Park,Peel,IM5 1DB,German,200000,200000,5/4/2007,31/10/2007
Apartment 5,Gansey Apartments,,Beach Road,,Port Saint Mary,IM9 5NE,Rushen,185000,185000,5/4/2007,3/11/2007
Flat 2,Holmleigh,,Brookhill Road,,Ramsey,IM8 2HY,Maughold,84720,84720,5/4/2007,10/11/2007
,Croft House,,Church Road,,Santon,IM4 1EZ,Santon,575000,575000,5/4/2007,7/11/2007
,Garage 5,,Starkey Close,Ballastowell Gardens,Ramsey,,Maughold,10000,10000,5/4/2007,11/11/2007
,The Old Craft Centre,,Kionslieu Hill,,Foxdale,IM4 3HB,Patrick,350000,350000,5/4/2007,9/11/2007
,2 Muir Terrace,,Glen Road,,Laxey,IM4 7AS,Lonan,170000,170000,5/4/2007,10/11/2007
,,3,Balleigh Park,,Ramsey,IM8 3NL,Lezayre,183000,183000,5/4/2007,14/11/2007
,,60,Friary Park,Ballabeg,Arbory,IM9 4EW,Arbory,69250,84500,5/4/2007,14/11/2007
,Ellan Vannin,,Main Road,,Ballaugh,IM7 5EF,Ballaugh,238000,238000,5/4/2007,14/11/2007
,Bridge Ville,,Glen Road,,Colby,IM9 4NT,Arbory,180000,180000,10/4/2007,22/10/2007
,Ballawhane Cottage,,Leodest Road,,Andreas,IM7 3EG,Andreas,400000,400000,10/4/2007,7/11/2007
,,4,Croft Park,,Andreas,IM7 4HM,Andreas,220000,220000,10/4/2007,7/11/2007
,,12,Magher Drine,Ballawattleworth Estate,Peel,IM5 1XE,German,145000,145000,10/4/2007,10/11/2007
,Sefton Villa,,Four Roads,,Port Saint Mary,IM9 5LH,Rushen,222000,222000,11/4/2007,7/11/2007
,Grenaby Farm,,Grenaby Road,,Dogmills,IM7 4AN,Bride,610000,610000,11/4/2007,17/11/2007
,Thie Vannin,,Nassau Road,Regaby,Bride,IM7 4AL,Bride,410000,410000,12/4/2007,31/10/2007
,Flossmoor,,Thornhill Park,,Ramsey,IM8 3NA,Lezayre,295000,295000,12/4/2007,11/11/2007
,,20,Ballachrink,,Colby,IM9 4PB,Arbory,330000,330000,12/4/2007,11/11/2007
,Ellenbrook,4,Croit-E-Cubbon,,Colby,IM9 4NN,Arbory,247000,247000,12/4/2007,14/11/2007
Apartment 3,Gansey Beach Apartments,,Gansey,,Port St Mary,IM9 5NE,Rushen,181000,181000,12/4/2007,17/11/2007
,,9,Oak Road,Ballawattleworth,Peel,IM5 1WD,German,219500,219500,12/4/2007,17/11/2007
,,32,Bowring Road,,Ramsey,IM8 3EJ,Lezayre,29200,160000,12/4/2007,8/10/2007
,Former Castle Industries Factory,,Ronaldsway Industrial Estate,Ballasalla,Malew,IM9 2RA,Malew,1400000,1400000,12/4/2007,21/11/2007
,Bay View Hotel,,Primrose Terrace,,Port St Mary,IM9 5AP,Rushen,625000,625000,12/4/2007,29/11/2007
,,10,Ballellis,Ballawattleworth,Peel,IM5 1WZ,German,199950,,13/04/2007,27/04/2007
,Thie Carr,,Main Road,,Ballaugh,IM7 5EG,Ballaugh,185000,185000,13/04/2007,2/10/2007
Apartment 14,Godred Court,,Kings Reach,,Ramsey,IM8 3NY,Lezayre,127500,127500,13/04/2007,8/10/2007
,,16,Rhenwyllan Close,,Port St Mary,IM9 5NJ,Rushen,425000,425000,13/04/2007,27/10/2007
,,27,Ballacriy Park,,Colby,IM9 4LT,Arbory,214000,214000,13/04/2007,28/10/2007
,,14,Queens Valley,,Ramsey,IM8 1NG,Maughold,549999,,13/04/2007,15/08/2007
,,5,Ballanoa Meadow,,Santon,IM1 1JB,Santon,191000,191000,13/04/2007,30/07/2008
,,48,Ard Reayrt,Ramsey Road,Laxey,IM4 7PZ,Lonan,390000,390000,13/04/2007,15/11/2007
,,2,Elm Bank,Ballagarey Road,Glen Vine,IM4 4FF,Marown,300000,300000,13/04/2007,27/11/2007
,,2,Bollan Way,Ballagarey Road Glen Vine,Marown,IM4 4FD,Marown,255000,255000,13/04/2007,20/11/2007
,Pargys,,Fistard,,Port St Mary,IM9 5PG,Rushen,255000,255000,13/04/2007,17/11/2007
,The Old Bakery,,Higher Foxdale,,Patrick,IM4 3EP,Patrick,135000,135000,13/04/2007,21/11/2007
,Plot Of Land,,East Nappin,,Jurby,,Jurby,1000,1000,13/04/2007,21/11/2007
,,9,Close Corlett,,Peel,IM5 1QH,German,268950,268950,13/04/2007,29/08/2007
,,24,St Paul'S Mews,,Ramsey,IM8 1EE,Maughold,155000,155000,13/04/2007,7/1/2008
,,86,Malew Street,,Castletown,IM9 1LS,Malew,162000,162000,14/04/2007,21/11/2007
,,86,Malew Street,,Castletown,IM9 1LS,Malew,162000,162000,14/04/2007,19/06/2009
,Trappers Cottage,,Smeale,,Andreas,IM7 3EE,Andreas,30000,,16/04/2007,15/05/2007
Apartment 6,Quay House,,West Quay,,Ramsey,IM8 1DD,Maughold,164995,164995,17/04/2007,3/11/2007
,Parcel Of Land At Junction Of,,Walpole Drive And Ballure Road,,Ramsey,IM8 1ND,Maughold,0.25,0.25,17/04/2007,18/10/2007
,,16,Barrule Park,,Ramsey,IM8 2BN,Maughold,300000,300000,17/04/2007,3/11/2007
,,46,Murrays Lake Drive,,Santon,IM4 2HZ,Santon,199950,199950,17/04/2007,14/11/2007
,,4,Browns Terrace,Glen Mona,Maughold,IM7 1HB,Maughold,155000,155000,17/04/2007,21/11/2007
,Hillcrest,,Ballagale Avenue,,Surby,IM9 6QJ,Rushen,540000,540000,17/04/2007,23/11/2007
,May Cottage,,St Marys Road,,Port Erin,IM9 6JJ,Rushen,187500,187500,18/04/2007,31/10/2007
,,1,Bridge Road,Ballasalla,Malew,IM9 3DA,Malew,200000,200000,18/04/2007,22/09/2007
,Treetops Barn,,Cranstal,,Bride,IM7 4BP,Bride,445000,445000,19/04/2007,17/11/2007
,,16,Ellan Park,,Ramsey,IM8 3NS,Lezayre,175000,175000,19/04/2007,16/11/2007
,,34,Ballahane Close,,Port Erin,IM9 6EQ,Rushen,157000,157000,19/04/2007,21/11/2007
Plot 1,Kings Haven,,Ballaragh Road,,Laxey,IM4 7PH,Lonan,105000,350000,19/04/2007,28/11/2007
,,44,King Orry Road,Glen Vine,Marown,IM4 4FJ,Marown,379950,379950,19/04/2007,22/11/2007
,Electrical Substation,,The Paddocks,Jurby Industrial Estate,Jurby,,Jurby,24.75,1000,19/04/2007,12/12/2007
,,113,Ballamaddrell,,Port Erin,IM9 6AX,Rushen,163000,163000,20/04/2007,27/10/2007
,,71,Lezayre Park,,Ramsey,IM8 2PT,Lezayre,30000,160000,20/04/2007,31/10/2007
,,3,Willow Close,,Peel,IM5 1WX,German,160000,160000,20/04/2007,7/11/2007
,,10,Sprucewood Rise,Foxdale,Patrick,IM4 3JP,Patrick,160000,160000,20/04/2007,9/11/2007
,,63,Ballacriy Park,,Colby,IM9 4LX,Arbory,258000,258000,20/04/2007,10/11/2007
,,24,Ballatessan Meadow,,Peel,IM5 1DU,German,274950,,20/04/2007,30/06/2007
,,3,Sprucewood Close,Foxdale,Patrick,IM4 3JP,Patrick,242000,242000,20/04/2007,21/11/2007
,,13,Malew Street,,Castletown,IM9 1AB,Malew,255000,255000,20/04/2007,15/07/2008
,,8,Glen Maye Park,,Glen Maye,IM5 3AX,Patrick,330000,330000,23/04/2007,3/11/2007
,,3,Reayrt Ny Crink,Crosby,Marown,IM4 2EA,Marown,299950,299950,23/04/2007,4/4/2008
,,10,Glen Maye Park,,Glen Maye,IM5 3AX,Patrick,290000,290000,23/04/2007,23/11/2007
,,14,Derby Road,,Peel,IM5 1HW,German,205000,205000,23/04/2007,21/11/2007
,Ballaskeig,,Croit-E-Quill,,Lonan,IM4 7JJ,Lonan,465000,465000,23/04/2007,19/12/2007
,,24,Balleigh Court,,Ramsey,IM8 3NQ,Lezayre,0,170000,23/04/2007,15/04/2008
,,10,Glen Maye Park,,Glen Maye,IM5 3AX,Patrick,290000,290000,23/04/2007,11/3/2013
,,4,Kallow Point Road,,Port Saint Mary,IM9 5EJ,Rushen,250000,250000,24/04/2007,25/09/2007
,,10,Erin Crescent,,Port Erin,IM9 6FD,Rushen,172000,172000,24/04/2007,13/11/2007
,,6,Abbots Drive,,Ballasalla,IM9 3EB,Malew,385000,385000,24/04/2007,21/11/2007
,,2,Northcroft Close,,Castletown,IM9 1AB,Malew,302500,302500,24/04/2007,21/11/2007
,Cooil Aalin Veg,,Main Road,,Ballabeg,IM9 4HA,Arbory,166500,166500,24/04/2007,28/11/2007
,,18,Close Corlett,,Peel,IM5 1QH,German,275950,275950,24/04/2007,4/10/2007
,,23,Erin Way,Ballahane Meadow,Port Erin,IM9 6EF,Rushen,375000,375000,24/04/2007,10/11/2007
,,15,Glebe Aalin,,Ballaugh,IM7 5BW,Ballaugh,275000,275000,25/04/2007,17/11/2007
,,4,Reayrt Ny Crink,Crosby,Marown,IM4 2EA,Marown,304950,304950,25/04/2007,4/4/2008
,,15,Erin Way,,Port Erin,IM9 6EF,Rushen,247500,247500,25/04/2007,21/11/2007
,Boayl Dooin,16,Ballastrooan,,Colby,IM9 4NR,Arbory,250000,250000,25/04/2007,21/11/2007
,,19,Bayr Grianagh,,Castletown,IM9 1HL,Malew,209000,209000,25/04/2007,1/12/2007
,,6,Ballahane Close,,Port Erin,IM9 6EG,Rushen,185000,185000,25/04/2007,29/11/2007
,,2,Close Corlett,,Peel,IM5 1QH,German,293950,,26/04/2007,16/08/2007
,,46,King Orry Road,Glen Vine,Marown,IM4 4FJ,Marown,377500,377500,26/04/2007,29/11/2007
,,11,Coburn Drive,,Ramsey,IM8 3PT,Lezayre,359950,359950,27/04/2007,24/10/2007
Flat 5,Pier View,,Stanley Mount East,,Ramsey,IM8 1NP,Maughold,90000,90000,27/04/2007,31/10/2007
,,1,Victoria Road,,Castletown,IM9 1EP,Malew,260000,260000,27/04/2007,9/11/2007
,,6,Croit Ny Kenzie Close,,Andreas,IM7 4FA,Andreas,182000,182000,27/04/2007,2/10/2007
,,8,Greenlands Avenue,,Ramsey,IM8 2PP,Lezayre,169000,169000,27/04/2007,23/11/2007
,Seaview,,Pinfold Hill,,Lonan,IM4 7HJ,Lonan,323000,323000,27/04/2007,27/11/2007
Apartment 8,Quay House,,West Quay,,Ramsey,IM8 1DD,Maughold,164495,164495,27/04/2007,27/10/2007
Apartment 7,Quay House,,West Quay,,Ramsey,IM8 1DD,Maughold,168995,168995,27/04/2007,27/10/2007
Apartment 3,Quay House,,West Quay,,Ramsey,IM8 1DD,Maughold,164495,164495,27/04/2007,27/10/2007
Apartment 4,Quay House,,West Quay,,Ramsey,IM8 1DD,Maughold,158495,158495,27/04/2007,27/10/2007
,,26,Queens Valley,,Ramsey,IM8 1NG,Maughold,455999,,27/04/2007,13/08/2007
,Plot Of Land,,Part Of The Ballavar Estate,,Santon,,Santon,0.25,0.25,27/04/2007,21/11/2008
,,10,Ard Reayrt,Ramsey Road,Laxey,IM4 7PZ,Lonan,238000,238000,27/04/2007,17/12/2007
,,50,Clifton Drive,Clifton Park,Ramsey,IM8 3NG,Lezayre,202500,202500,27/04/2007,11/1/2008
,Cragside,,Bradda Road East,,Port Erin,IM9 6QA,Rushen,220000,220000,30/04/2007,9/10/2007
,Hill View,,Fern Glen Road,Glen Auldyn,Lezayre,IM7 2AG,Lezayre,485000,485000,30/04/2007,14/04/2008
,Shop Corner,,Albert Road/Christian Street,,Ramsey,IM8 2EL,Maughold,85000,85000,30/04/2007,18/10/2007
,Land,,Port Grenaugh,,Santon,,Santon,50000,50000,30/04/2007,18/10/2007
,Greenbank,1,Windsor Road,,Ramsey,IM8 3EG,Lezayre,160000,160000,30/04/2007,27/10/2007
,Kella Sheear,,Kella Road,,Sulby,IM7 2HG,Lezayre,362000,362000,30/04/2007,21/11/2007
,Two Parcels Of Land Adjacent To,,Ginger Hall And Claddagh Road,,Sulby,IM7 2HB,Lezayre,7000,7000,1/5/2007,25/10/2007
,,17,Croit Ny Kenzie Close,,Andreas,IM7 4FA,Andreas,204950,204950,1/5/2007,2/10/2007
Apartments 11 And 12,Quay House,,West Quay,,Ramsey,IM8 1DD,Maughold,355990,355990,1/5/2007,3/11/2007
,Moorhouse,,Handleys Corner,,Kirk Michael,IM6 1AY,Michael,315000,315000,1/5/2007,29/11/2007
Apartment 1B,1St Floor Milner Towers,,Station Road,,Port Erin,,Rushen,260000,260000,1/5/2007,27/11/2007
Store Room Ground Floor,Milner Towers,,Station Road,The Promenade,Port Erin,,Rushen,0,1000,1/5/2007,29/11/2007
Apartment 7,Castle View Apartments,,Marine Parade,,Peel,IM5 1PB,German,126950,126950,1/5/2007,23/11/2007
,,14,Cronk Reayrt,Glenfaba Park,Peel,IM5 1DB,German,30519.1,160000,2/5/2007,11/11/2007
,Porthaven,,Fistard Road,,Port St Mary,IM9 5HE,Rushen,875000,875000,2/5/2007,30/11/2007
,,42,Michael Street,,Peel,IM5 1HD,German,207500,207500,3/5/2007,19/10/2007
,The Old Rectory,,The Cronk,,Ballaugh,IM7 5AX,Ballaugh,196000,196000,3/5/2007,10/11/2007
,,5,Reayrt Ny Crink,Crosby,Marown,IM4 2EA,Marown,304500,304500,3/5/2007,4/4/2008
,Pear Tree Cottage,,Crossag Road,,Ballasalla,IM9 3EF,Malew,340000,340000,3/5/2007,11/11/2007
,Glen View,,Glen Chass,,Port St Mary,IM9 5PH,Rushen,430000,430000,3/5/2007,21/11/2007
Land Adjacent To,Glen View Cottage,,Glen Chass,,Port St Mary,IM9 5PH,Rushen,14000,14000,3/5/2007,29/11/2007
,Land Abutting A Lane Off,,Malew Road,,Castletown,,Malew,400000,400000,3/5/2007,4/12/2007
,Land,,Abutting Malew Road,,Castletown,IM9 1EA,Malew,5000,5000,3/5/2007,1/12/2007
,Sovereign House,,Station Road,,St. Johns,IM4 3AJ,German,470000,470000,3/5/2007,5/12/2007
Flat 105,Queens Court,,St Pauls Square,,Ramsey,IM8 1LQ,Maughold,106000,106000,3/5/2007,5/12/2007
,Tenblairs,52,Mill Road,,Surby,IM9 6QP,Rushen,0.25,,4/5/2007,4/7/2007
,Bridge House,,Bridge Road,,Ballasalla,IM9 3DA,Malew,280000,280000,4/5/2007,1/7/2008
,Plots 5 And 6,,Waverley Terrace,Waterloo Road,Ramsey,IM8 1EA,Maughold,332500,332500,4/5/2007,10/11/2007
,Milestone,,Main Road,,Glen Vine,IM4 4BH,Marown,290000,290000,4/5/2007,12/11/2007
,,1,Brookfield Terrace,Brookfield Avenue,Ramsey,IM8 2AL,Maughold,150000,150000,4/5/2007,28/11/2007
,,5,The Grove,Tynwald Road,Peel,IM5 1LB,German,265000,265000,4/5/2007,3/7/2008
,,5,Windsor Road,,Ramsey,IM8 3EG,Lezayre,215000,215000,4/5/2007,27/11/2007
,Plot Of Land,,Fistard Road,,Port St Mary,IM9 5PQ,Rushen,145000,145000,4/5/2007,26/11/2007
,Cranford,,Cronk Y Voddy,St Johns,German,IM4 3NS,German,182000,182000,4/5/2007,29/11/2007
,Mafeking,,Bradda West Road,,Port Erin,IM9 6PL,Rushen,340000,340000,4/5/2007,1/12/2007
,,18,Cushag Drive,,Peel,IM5 1WN,German,192000,192000,4/5/2007,20/09/2007
,Mann Scuba Divers,,Strand Road,,Port Erin,IM9 6HE,Rushen,195000,195000,4/5/2007,10/1/2008
,,14,Abbots Way,,Ballasalla,IM9 3EQ,Malew,374995,374995,4/5/2007,17/12/2007
,,9,Station Road,,Port Erin,IM9 6AE,Rushen,210000,210000,8/5/2007,27/10/2007
,,1,Callows Croft,Church Road,Laxey,IM4 7HG,Lonan,203000,203000,8/5/2007,27/10/2007
,Brenton,,Lezayre Road,,Ramsey,IM8 2TD,Lezayre,354000,354000,8/5/2007,11/11/2007
,,14,Gainsborough Crescent,,Ramsey,IM8 3NH,Lezayre,241500,241500,9/5/2007,19/11/2007
Flat 315,,,Queens Court,,Ramsey,IM8 1LF,Maughold,68000,68000,9/5/2007,29/11/2007
,Rose Cottage,,Loop Road,St Judes,Andreas,IM7 3BX,Andreas,475000,475000,9/5/2007,10/10/2007
,,10,Creggan Aashen,,Glen Maye,IM5 3DA,Patrick,327000,,10/5/2007,27/07/2007
,The Royal Oak,,Market Square,,Ramsey,IM8 1JY,Maughold,195000,195000,10/5/2007,28/11/2007
,,1,Harbourside Cottages,Tent Road,Laxey,IM4 7DB,Lonan,300000,300000,10/5/2007,5/12/2007
,,12,Abbots Close,Abbotswood,Ballasalla Malew,IM9 3EA,Malew,242500,242500,10/5/2007,5/12/2007
Flat 6,Chester Mews,,The Paddocks,,Ballasalla,IM9 2DH,Malew,130000,130000,11/5/2007,24/10/2007
,,21,Glebe Aalin,Off Station Road,Ballaugh,IM7 5BW,Ballaugh,282500,282500,11/5/2007,25/10/2007
,,2,Old School View,Eyreton Lea,Crosby,IM4 4DA,Marown,325000,325000,11/5/2007,24/10/2007
,Ballavarteen,,Grenaby Road,,Bride,IM7 4AN,Bride,420000,420000,11/5/2007,10/11/2007
,,6,Queens Drive East,,Ramsey,IM8 1EJ,Maughold,187500,187500,11/5/2007,21/11/2007
,The Millstone,,Ramsey Road,,German,IM5 2AQ,German,235000,,11/5/2007,1/8/2007
,Sycamore Cottage,,Strand Road,,Port Erin,IM9 6HB,Rushen,190000,190000,11/5/2007,21/11/2007
,Eairy House,,The Eairy,East Foxdale,Marown,IM4 3HU,Marown,425000,425000,11/5/2007,28/11/2007
,Ballagawne Cottage,12,Ballakeyll,Colby,Rushen,IM9 4AY,Rushen,260000,260000,11/5/2007,5/12/2007
,Plot Of Land,,Ballawhane,,Andreas,,Andreas,0.25,5000,11/5/2007,5/12/2007
,,9,Glebe Aalin Close,,Ballaugh,IM7 5BY,Ballaugh,153500,153500,11/5/2007,7/12/2007
,,14,Magher Drine,Ballawattleworth,Peel,,German,145000,145000,11/5/2007,31/01/2008
,,1,Peveril Avenue,,Peel,IM5 1QB,German,20000,210000,11/5/2007,6/3/2008
,Gansey View,,Concorde Developments,,Cronk Road,IM9 5AS,Rushen,295000,295000,11/5/2007,21/04/2008
,A Plot Of Land,,Ballamodha,,Malew,,Malew,100000,100000,12/5/2007,6/12/2007
,,2,Close Oard,Clifton Park,Ramsey,IM8 3PY,Lezayre,368000,368000,14/05/2007,21/11/2007
Geay Varrey,,,Howe Road,,Port St. Mary,IM9 5PR,Rushen,315000,315000,14/05/2007,5/12/2007
,Garage 13,,Queens Court,St Pauls Square,Ramsey,,Maughold,12000,12000,14/05/2007,29/05/2008
,Croft View,61,Arbory Street,,Castletown,IM9 1LL,Malew,352500,352500,15/05/2007,27/10/2007
,Ballaspet Service Reservoir,,Patrick Road,,St Johns,IM4 3BR,Patrick,20,20,15/05/2007,3/11/2007
,,19,Farrants Way,,Castletown,IM9 1NR,Malew,175000,175000,15/05/2007,3/11/2007
,The Tynwald Restaurant,,Main Road,,St Johns,IM4 3NA,German,280000,280000,15/05/2007,10/11/2007
,,23,Brewery Wharf,Victoria Road,Castletown,IM9 1EU,Malew,250000,250000,15/05/2007,19/05/2008
,Watersmeet,,Westfield Drive,,Ramsey,IM8 3ER,Lezayre,650000,650000,15/05/2007,21/11/2007
,,2,Croit Ny Kenzie Close,,Andreas,IM7 4FA,Andreas,204950,204950,15/05/2007,1/10/2007
,Lamode,,Ballakillowey Road,,Rushen,IM9 4BP,Rushen,424950,424950,15/05/2007,10/12/2007
Garden Apartment,Castle View Apartments,5,Marine Parade,,Peel,IM5 1PB,German,160000,160000,15/05/2007,16/07/2008
,3 Rectory Cottages,,Andreas Village,,Kirk Andreas,IM7 4EZ,Andreas,190000,190000,16/05/2007,25/10/2007
,,7,Bollan Way,,Glen Vine,IM4 4FD,Marown,255000,255000,16/05/2007,21/11/2007
,,18,Croit Ny Kenzie Close,,Andreas,IM7 4FA,Andreas,204950,204950,16/05/2007,2/10/2007
,,10,Orchard Close,,Andreas,IM7 4HP,Andreas,230000,230000,16/05/2007,28/11/2007
,Normandie,,Main Road,,Santon,IM4 1JB,Santon,270000,270000,17/05/2007,19/10/2007
,Wits End,,Dandy Hill,,Port Erin,IM9 6HN,Rushen,210000,210000,17/05/2007,24/10/2007
,Wits End,,Dandy Hill,,Port Erin,IM9 6HN,Rushen,210000,210000,17/05/2007,25/10/2007
,Cummal Beg,,Jurby Road,,Ramsey,IM8 3PF,Lezayre,333000,333000,17/05/2007,3/11/2007
,Sonnish Ny Marrey,6,St. Marys Avenue,,Port St Mary,IM9 5ET,Rushen,375000,375000,17/05/2007,19/12/2007
,,11,Homefield Villas,,Ballasalla,IM9 2EJ,Malew,213000,213000,17/05/2007,29/11/2007
,,13,Abbots Way,Abbotswood,Ballasalla,IM9 3EQ,Malew,391995,391995,17/05/2007,7/5/2008
,,8,Kerrocruin,,Kirk Michael,IM6 1AF,Michael,230000,230000,18/05/2007,4/11/2007
,,12,Aspen Drive,,Peel,IM5 1WT,German,195000,195000,18/05/2007,24/10/2007
,Thie Grenaugh,,Glashen Close,,Ballasalla,IM9 2AB,Malew,225000,225000,18/05/2007,24/10/2007
,Hillcrest,17,Derby Road,,Peel,IM5 1HW,German,217500,217500,18/05/2007,27/10/2007
,,13,Windsor Road,,Ramsey,IM8 3EG,Lezayre,235000,235000,18/05/2007,3/11/2007
,,11,West View,,Peel,IM5 1BN,German,220000,220000,18/05/2007,3/11/2007
,Ballachrink Cottage,,Breeze Hill,,Laxey,IM4 7DL,Lonan,260001,260001,18/05/2007,3/11/2007
,,1,Slieau Whallian Park,,St. Johns,IM4 3JG,German,125000,125000,18/05/2007,7/11/2007
Flat 3,Waverley House,,Bay View Road,,Port Saint Mary,IM9 5AE,Rushen,107000,107000,18/05/2007,9/11/2007
,,30,Patrick Street,,Peel,IM5 1BR,German,157000,157000,18/05/2007,10/11/2007
,,53,Slieau Curn Park,,Kirk Michael,IM6 1EL,Michael,182500,182500,18/05/2007,15/11/2007
,Riverside Cottage,,Bridge Lane,,Ramsey,IM8 3DE,Lezayre,240000,240000,18/05/2007,12/11/2007
,Thie Ny Feeaih,,Lezayre Road,,Ramsey,IM8 2TD,Lezayre,197000,197000,18/05/2007,17/11/2007
,,2,The Willows,Ballacraine,St Johns,IM4 3LS,German,207500,,18/05/2007,12/7/2007
,,2,The Willows,Ballacraine,St Johns,IM4 3LS,German,207500,,18/05/2007,12/7/2007
,Stanley Ville,,Minorca Hill,,Laxey,IM4 7DN,Lonan,330000,330000,18/05/2007,21/11/2007
,,14,Mona Street,,Ramsey,IM8 1BD,Maughold,250000,250000,18/05/2007,23/11/2007
Apartment 1,Chapel Court,,Christian Street,,Peel,IM5 1NW,German,145000,145000,18/05/2007,22/11/2007
Apartment 10,Quay House,,West Quay,,Ramsey,IM8 1DD,Maughold,182495,182495,18/05/2007,2/11/2007
,,33,Oak Road,Ballawattleworth,Peel,IM5 1WB,German,190000,190000,18/05/2007,7/12/2007
,,10,Maple Avenue,Ballawattleworth Estate,Peel,IM5 1WP,German,270000,270000,18/05/2007,16/02/2008
,,11,West View,,Peel,IM5 1BN,German,0,0,18/05/2007,16/11/2007
,,119,Ballamaddrell,,Port Erin,IM9 6AX,Rushen,175000,175000,21/05/2007,16/04/2008
,,,Ballagawne Farm,,Baldrine,IM4 6EP,Lonan,0,3000000,21/05/2007,6/11/2012
Flat 7,Ascog Hall,,Stanley Mount West,,Ramsey,IM8 1NP,Maughold,111000,111000,22/05/2007,7/11/2007
,,27,Broogh Wyllin,Shore Road,Kirk Michael,,Michael,207000,207000,22/05/2007,12/11/2007
,A Plot Of Land At White Coppice,,Glen Auldyn,,Lezayre,IM7 2AG,Lezayre,5000,5000,22/05/2007,7/3/2008
,Plot Of Land,,Rear Maranatha,Douglas Road,Ballasalla,IM9 2EP,Malew,150000,150000,22/05/2007,28/11/2007
